Symbol,Company,Industry,Date Added
MMM,3M,Industrials,1976-08-09
ABT,Abbott Laboratories,Health Care,1964-03-31
ABBV,AbbVie,Health Care,2012-12-31
ABMD,Abiomed,Health Care,2018-05-31
ACN,Accenture,Information Technology,2011-07-06
ATVI,Activision Blizzard,Communication Services,2015-08-31
ADBE,Adobe,Information Technology,1997-05-05
AMD,Advanced Micro Devices,Information Technology,
AAP,Advance Auto Parts,Consumer Discretionary,2015-07-09
AES,AES Corp,Utilities,1998-10-02
AFL,Aflac,Financials,1999-05-28
A,Agilent Technologies,Health Care,2000-06-05
APD,Air Products & Chemicals,Materials,1985-04-30
AKAM,Akamai Technologies,Information Technology,2007-07-12
ALK,Alaska Air Group,Industrials,2016-05-13
ALB,Albemarle Corporation,Materials,2016-07-01
ARE,Alexandria Real Estate Equities,Real Estate,2017-03-20
ALGN,Align Technology,Health Care,2017-06-19
ALLE,Allegion,Industrials,2013-12-02
LNT,Alliant Energy,Utilities,2016-07-01
ALL,Allstate Corp,Financials,1995-07-13
GOOGL,Alphabet (Class A),Communication Services,2014-04-03
GOOG,Alphabet (Class C),Communication Services,2006-04-03
MO,Altria Group,Consumer Staples,1957-03-04
AMZN,Amazon,Consumer Discretionary,2005-11-18
AEE,Ameren Corp,Utilities,1991-09-19
AAL,American Airlines Group,Industrials,2015-03-23
AEP,American Electric Power,Utilities,1957-03-04
AXP,American Express,Financials,1976-06-30
AIG,American International Group,Financials,1980-03-31
AMT,American Tower,Real Estate,2007-11-19
AWK,American Water Works,Utilities,2016-03-04
AMP,Ameriprise Financial,Financials,2005-10-03
ABC,AmerisourceBergen,Health Care,2001-08-30
AME,Ametek,Industrials,2013-09-23
AMGN,Amgen,Health Care,1992-01-02
APH,Amphenol,Information Technology,2008-09-30
ADI,Analog Devices,Information Technology,1999-10-12
ANSS,Ansys,Information Technology,2017-06-19
ANTM,Anthem,Health Care,2002-07-25
AON,Aon,Financials,1996-04-23
AOS,A. O. Smith,Industrials,2017-07-26
APA,APA Corporation,Energy,1997-07-28
AAPL,Apple,Information Technology,1982-11-30
AMAT,Applied Materials,Information Technology,1995-03-16
APTV,Aptiv,Consumer Discretionary,2012-12-24
ADM,ADM,Consumer Staples,1981-07-29
ANET,Arista Networks,Information Technology,2018-08-28
AJG,Arthur J. Gallagher & Co.,Financials,2016-05-31
